Year,Month,State,residentialRevenue,residentialSales,residentialCustomers,residentialPrice,commercialRevenue,commercialSales,commercialCustomers,commercialPrice,industrialRevenue,industrialSales,industrialCustomers,industrialPrice,transportationRevenue,transportationSales,transportationCustomers,transportationPrice,totalRevenue,totalSales,totalCustomers,totalPrice
2025,11,GA,600243.31,4161974.80,4872898.00,14.42,486440.11,4366252.30,628620.00,11.14,181756.67,2661424.50,22638.00,6.83,720.49,12221.46,1.00,5.90,1269160.60,11201873.00,5524157.00,11.33
2025,11,HI,93999.78,233848.30,449893.00,40.20,85792.27,235128.70,59950.00,36.49,94678.43,297342.63,862.00,31.84,0.00,0.00,0.00,0.00,274470.48,766319.63,510705.00,35.82
2025,11,IA,133534.85,985247.98,1476243.00,13.55,105165.83,1004515.00,255094.00,10.47,164291.09,2581586.80,9159.00,6.36,0.00,0.00,0.00,0.00,402991.77,4571349.80,1740496.00,8.82
2025,11,ID,94201.35,769075.56,894861.00,12.25,51070.31,542664.65,126401.00,9.41,42307.48,555798.26,29652.00,7.61,0.00,0.00,0.00,0.00,187579.14,1867538.50,1050914.00,10.04
2025,11,IL,571390.00,3120283.10,5418060.00,18.31,470506.32,3560806.20,646749.00,13.21,325701.45,3270371.20,5474.00,9.96,3235.77,36724.44,3.00,8.81,1370833.50,9988184.90,6070286.00,13.72
2025,11,IN,403646.86,2318565.50,3021422.00,17.41,286283.71,2041993.50,377078.00,14.02,311405.93,3479935.50,19246.00,8.95,248.88,1722.45,1.00,14.45,1001585.40,7842216.80,3417747.00,12.77
2025,11,KS,133523.97,884373.63,1348616.00,15.10,136286.23,1209602.10,250849.00,11.27,75017.98,908228.81,23804.00,8.26,0.00,0.00,0.00,0.00,344828.17,3002204.50,1623269.00,11.49
2025,11,KY,244410.47,1783547.70,2021155.00,13.70,176243.39,1463451.50,328835.00,12.04,157640.09,2296977.90,4710.00,6.86,0.00,0.00,0.00,0.00,578293.94,5543977.10,2354700.00,10.43
2025,11,LA,245779.39,1929712.00,2168369.00,12.74,199596.66,1783014.00,303168.00,11.19,197587.61,3359504.10,17412.00,5.88,81.02,746.84,1.00,10.85,643044.67,7072976.80,2488950.00,9.09
2025,11,MA,417789.02,1338002.70,2746747.00,31.22,400039.38,1671387.10,395747.00,23.93,94485.11,496508.87,9699.00,19.03,2131.04,23445.52,2.00,9.09,914444.55,3529344.20,3152195.00,25.91
2025,11,MD,415446.86,1946745.30,2470725.00,21.34,319073.20,2063431.70,262970.00,15.46,36002.03,288762.69,9391.00,12.47,5409.11,35950.10,5.00,15.05,775931.20,4334889.80,2743091.00,17.90
2025,11,ME,100894.39,362316.95,686954.00,27.85,60762.01,292363.87,102957.00,20.78,25661.08,161508.23,1590.00,15.89,0.00,0.00,0.00,0.00,187317.47,816189.05,791501.00,22.95
2025,11,MI,503298.54,2524003.40,4545991.00,19.94,397438.14,2776770.50,570095.00,14.31,192873.26,2280765.30,5623.00,8.46,62.25,457.65,2.00,13.60,1093672.20,7581996.80,5121711.00,14.42
2025,11,MN,262534.90,1675044.00,2622091.00,15.67,215630.63,1813616.20,311207.00,11.89,144934.39,1558785.10,9116.00,9.30,142.71,1216.89,1.00,11.73,623242.63,5048662.10,2942415.00,12.34
2025,11,MO,313603.58,2390958.40,2891472.00,13.12,226770.14,2274581.00,407548.00,9.97,81165.08,1035069.60,9337.00,7.84,222.95,2065.91,2.00,10.79,621761.75,5702674.90,3308359.00,10.90
2025,11,MS,177783.33,1160052.00,1350724.00,15.33,140072.99,1036234.20,248261.00,13.52,95987.36,1293576.20,12356.00,7.42,0.00,0.00,0.00,0.00,413843.68,3489862.40,1611341.00,11.86
2025,11,MT,56226.58,438661.59,569245.00,12.82,45502.98,389470.72,142093.00,11.68,24626.58,357862.63,12121.00,6.88,0.00,0.00,0.00,0.00,126356.14,1185994.90,723459.00,10.65
2025,11,NC,644021.52,4397684.20,5191985.00,14.64,394607.90,3730974.20,756824.00,10.58,157153.53,2042343.00,8626.00,7.69,91.21,882.00,1.00,10.34,1195874.20,10171884.00,5957436.00,11.76
2025,11,ND,51926.23,435353.04,400581.00,11.93,70999.45,960098.94,77650.00,7.40,87597.40,1160465.90,10873.00,7.55,0.00,0.00,0.00,0.00,210523.07,2555917.90,489104.00,8.24
2025,11,NE,87301.89,697283.03,925224.00,12.52,102248.96,1194013.20,164306.00,8.56,73729.21,983586.22,61261.00,7.50,0.00,0.00,0.00,0.00,263280.06,2874882.50,1150791.00,9.16
2025,11,NH,103592.35,378420.64,659048.00,27.37,65716.73,322332.32,113170.00,20.39,25016.95,148383.53,3050.00,16.86,0.00,0.00,0.00,0.00,194326.03,849136.49,775268.00,22.89
2025,11,NJ,443707.70,1952187.60,3781919.00,22.73,424686.92,2670327.30,539945.00,15.90,63026.29,462068.45,10876.00,13.64,3941.96,35054.86,7.00,11.25,935362.88,5119638.20,4332747.00,18.27
2025,11,NM,73332.89,469878.46,925974.00,15.61,74269.21,682237.47,147319.00,10.89,69837.66,1300529.30,9095.00,5.37,0.00,0.00,0.00,0.00,217439.76,2452645.20,1082388.00,8.87
2025,11,NV,111064.14,782354.22,1342153.00,14.20,98486.88,1078379.60,178823.00,9.13,66501.98,876416.18,4587.00,7.59,55.92,574.66,1.00,9.73,276108.92,2737724.70,1525564.00,10.09
2025,11,NY,941720.88,3554865.80,7477540.00,26.49,1055856.80,5340369.60,1174366.00,19.77,110707.46,1236623.30,17589.00,8.95,34872.69,222176.55,6.00,15.70,2143157.90,10354035.00,8669501.00,20.70
2025,11,OH,696263.11,3941499.60,5110934.00,17.66,599821.29,4639916.70,624897.00,12.93,376933.25,4039400.10,17519.00,9.33,242.87,2312.06,2.00,10.50,1673260.50,12623129.00,5753352.00,13.26
2025,11,OK,191999.93,1439727.30,1909631.00,13.34,186174.42,2152519.70,312071.00,8.65,113272.46,1848359.30,19384.00,6.13,0.00,0.00,0.00,0.00,491446.81,5440606.40,2241086.00,9.03
2025,11,OR,249685.84,1601703.10,1896727.00,15.59,211385.47,2017295.70,250126.00,10.48,105654.08,1305059.70,26285.00,8.10,267.48,1861.79,2.00,14.37,566992.88,4925920.30,2173140.00,11.51
2025,11,PA,806327.83,3998648.20,5543170.00,20.17,376285.43,2890874.90,743041.00,13.02,335036.96,3283507.10,11028.00,10.20,3274.31,35542.72,5.00,9.21,1520924.50,10208573.00,6297244.00,14.90
2025,11,RI,65362.88,212096.67,466266.00,30.82,68471.10,302540.36,64808.00,22.63,10005.17,44982.79,1673.00,22.24,478.23,2052.83,1.00,23.30,144317.38,561672.65,532748.00,25.69
2025,11,SC,338639.49,2179876.60,2635548.00,15.53,224759.56,2008613.70,417022.00,11.19,139682.41,2081493.80,3483.00,6.71,0.00,0.00,0.00,0.00,703081.46,6269984.00,3056053.00,11.21
2025,11,SD,53967.00,390690.30,445468.00,13.81,45984.27,407407.34,79831.00,11.29,23213.86,267848.34,4271.00,8.67,0.00,0.00,0.00,0.00,123165.13,1065946.00,529570.00,11.55
2025,11,TN,376372.92,2794256.30,3124742.00,13.47,340073.86,2672915.50,550302.00,12.72,132424.01,2061022.50,1003.00,6.43,0.00,0.00,0.00,0.00,848870.79,7528194.30,3676047.00,11.28
2025,11,TX,1651378.20,10297449.00,12648208.00,16.04,1166833.70,14240504.00,1534572.00,8.19,887724.93,13398814.00,404766.00,6.63,44.40,1186.64,3.00,3.74,3705981.10,37937953.00,14587549.00,9.77
2025,11,UT,104948.77,803145.87,1271096.00,13.07,112181.37,1165625.30,145508.00,9.62,53241.15,686400.07,10745.00,7.76,535.96,4307.44,1.00,12.44,270907.25,2659478.70,1427350.00,10.19
2025,11,VA,524406.12,3290503.80,3703207.00,15.94,659169.77,6412739.40,450028.00,10.28,109576.41,1104684.40,3992.00,9.92,2064.92,18718.36,1.00,11.03,1295217.20,10826646.00,4157228.00,11.96
2025,11,VT,43800.56,181224.37,312427.00,24.17,31701.42,150779.35,63904.00,21.03,13198.15,104779.37,222.00,12.60,0.00,0.00,0.00,0.00,88700.12,436783.09,376553.00,20.31
2025,11,WA,419694.22,3030509.90,3390356.00,13.85,298206.16,2642620.60,403315.00,11.28,106665.44,1560229.30,24682.00,6.84,892.81,7221.69,5.00,12.36,825458.63,7240581.50,3818358.00,11.40
2025,11,WI,306520.66,1666558.70,2868868.00,18.39,234863.99,1824463.90,371444.00,12.87,159965.95,1850928.00,5589.00,8.64,23.00,118.85,2.00,19.35,701373.60,5342069.50,3245903.00,13.13
2025,11,WV,132824.97,848640.47,867805.00,15.65,74565.14,612473.48,152936.00,12.17,98958.41,1195918.10,10751.00,8.27,0.00,0.00,0.00,0.00,306348.52,2657032.10,1031492.00,11.53
2025,11,WY,31759.72,228363.92,290644.00,13.91,46245.21,488323.38,60102.00,9.47,62872.49,715191.82,11882.00,8.79,0.00,0.00,0.00,0.00,140877.42,1431879.10,362628.00,9.84
2025,10,AK,42065.09,158957.33,304292.00,26.46,48679.28,219023.07,58196.00,22.23,24929.34,128405.43,1231.00,19.41,0.00,0.00,0.00,0.00,115673.71,506385.84,363719.00,22.84
2025,10,AL,382813.59,2289571.90,2434519.00,16.72,274504.95,1869742.10,397623.00,14.68,202443.30,2730801.70,7256.00,7.41,0.00,0.00,0.00,0.00,859761.84,6890115.70,2839398.00,12.48
2025,10,AR,178980.88,1349705.20,1498594.00,13.26,109608.49,1000994.60,210684.00,10.95,120003.75,1850906.20,38887.00,6.48,3.18,25.48,2.00,12.47,408596.30,4201631.40,1748167.00,9.72
2025,10,AZ,432480.67,2780876.00,3184030.00,15.55,389891.32,3194717.60,351783.00,12.20,99047.55,1289820.60,7139.00,7.68,89.26,963.71,2.00,9.26,921508.80,7266377.90,3542954.00,12.68
2025,10,CA,2203617.60,6558801.80,14543380.00,33.60,2768884.90,10270167.00,1801686.00,26.96,882588.16,3823104.20,149107.00,23.09,11783.79,63803.80,13.00,18.47,5866874.40,20715876.00,16494186.00,28.32
2025,10,CO,241295.32,1483776.40,2529561.00,16.26,217591.14,1728987.20,402517.00,12.58,118186.94,1293023.70,14693.00,9.14,601.65,6350.77,1.00,9.47,577675.05,4512138.00,2946772.00,12.80
2025,10,CT,232127.80,837430.62,1595235.00,27.72,193004.43,894214.14,156526.00,21.58,29908.62,230385.38,3807.00,12.98,2251.00,13589.71,3.00,16.56,457291.85,1975619.80,1755571.00,23.15
2025,10,DC,37574.75,157072.47,325337.00,23.92,113629.76,529611.83,27625.00,21.46,2445.33,15052.26,1.00,16.25,2596.52,24077.12,3.00,10.78,156246.37,725813.68,352966.00,21.53
2025,10,DE,57080.94,311701.44,478732.00,18.31,40483.90,324039.47,61056.00,12.49,15523.74,160620.15,1142.00,9.66,0.00,0.00,0.00,0.00,113088.58,796361.07,540930.00,14.20
2025,10,FL,1832955.20,11671200.00,10671927.00,15.70,1006745.30,8673863.20,1329524.00,11.61,128448.83,1456512.70,24728.00,8.82,635.74,5771.71,2.00,11.01,2968785.10,21807348.00,12026181.00,13.61
2025,10,GA,615779.07,4237586.30,4868351.00,14.53,507635.39,4643115.00,628412.00,10.93,188278.60,2833530.40,22727.00,6.64,799.72,13516.71,1.00,5.92,1312492.80,11727748.00,5519491.00,11.19
2025,10,HI,98910.11,248904.86,449753.00,39.74,89707.47,249987.54,59893.00,35.88,99444.97,321904.64,862.00,30.89,0.00,0.00,0.00,0.00,288062.55,820797.04,510508.00,35.10
2025,10,IA,140095.31,1039370.20,1479193.00,13.48,117434.36,1125995.40,255563.00,10.43,154764.83,2470434.00,9260.00,6.26,0.00,0.00,0.00,0.00,412294.49,4635799.70,1744016.00,8.89
2025,10,ID,82062.65,658753.09,894016.00,12.46,51358.59,565873.26,126661.00,9.08,43730.81,676571.09,29848.00,6.46,0.00,0.00,0.00,0.00,177152.04,1901197.40,1050525.00,9.32
2025,10,IL,582418.38,3108450.20,5393849.00,18.74,503103.64,3685567.80,646729.00,13.65,355587.10,3432149.20,5474.00,10.36,3575.57,39167.19,3.00,9.13,1444684.70,10265334.00,6046055.00,14.07
2025,10,IN,381882.37,2202609.60,3019480.00,17.34,304739.96,2195792.90,376620.00,13.88,332880.30,3598659.60,19241.00,9.25,238.75,1693.00,1.00,14.10,1019741.40,7998755.10,3415342.00,12.75
2025,10,KS,147852.65,975253.98,1343088.00,15.16,149339.76,1313450.90,250118.00,11.37,78356.09,948442.27,23939.00,8.26,0.00,0.00,0.00,0.00,375548.50,3237147.20,1617145.00,11.60
2025,10,KY,235772.17,1730968.10,2020026.00,13.62,193274.40,1651123.30,328512.00,11.71,157204.80,2323502.60,4708.00,6.77,0.00,0.00,0.00,0.00,586251.37,5705594.10,2353246.00,10.28
2025,10,LA,310925.80,2508905.40,2167463.00,12.39,219764.92,2059522.60,303641.00,10.67,205720.83,3546669.00,17534.00,5.80,88.42,822.01,1.00,10.76,736499.96,8115919.00,2488639.00,9.07
2025,10,MA,457421.94,1458069.60,2953655.00,31.37,446710.03,2032177.10,436690.00,21.98,96174.45,524423.34,9703.00,18.34,1920.86,23470.48,2.00,8.18,1002227.30,4038140.50,3400050.00,24.82
2025,10,MD,363753.78,1630820.90,2469646.00,22.30,314510.20,2043975.30,262728.00,15.39,41549.37,286958.10,9396.00,14.48,4838.44,32429.15,5.00,14.92,724651.78,3994183.40,2741775.00,18.14
2025,10,ME,94376.05,320760.46,760410.00,29.42,68200.48,330352.75,113972.00,20.64,30343.43,211420.14,1823.00,14.35,0.00,0.00,0.00,0.00,192919.96,862533.35,876205.00,22.37
2025,10,MI,482636.30,2359307.40,4548300.00,20.46,429414.60,3012297.20,570323.00,14.26,201892.77,2371864.00,5673.00,8.51,64.59,463.47,2.00,13.94,1114008.30,7743932.00,5124298.00,14.39
2025,10,MN,271409.08,1658228.90,2629952.00,16.37,229881.49,1908946.50,312168.00,12.04,154969.17,1649489.20,9223.00,9.40,127.83,1011.96,1.00,12.63,656387.57,5217676.60,2951344.00,12.58
2025,10,MO,299711.58,2313560.40,2885336.00,12.95,236153.71,2412618.90,407605.00,9.79,85764.09,1114665.20,9372.00,7.69,287.95,2019.50,2.00,14.26,621917.33,5842863.90,3302315.00,10.64
2025,10,MS,207993.59,1437636.70,1350650.00,14.47,159096.84,1224196.10,248613.00,13.00,98150.17,1354641.90,11338.00,7.25,0.00,0.00,0.00,0.00,465240.61,4016474.70,1610601.00,11.58
2025,10,MT,53828.38,377345.08,569339.00,14.27,53643.81,425062.19,142104.00,12.62,25306.58,363231.78,13259.00,6.97,0.00,0.00,0.00,0.00,132778.77,1165639.10,724702.00,11.39
2025,10,NC,617286.06,4101982.40,5198538.00,15.05,415908.17,3963421.50,758064.00,10.49,164504.14,2156822.30,8647.00,7.63,98.74,1036.16,1.00,9.53,1197797.10,10223262.00,5965250.00,11.72
2025,10,ND,43077.21,335990.71,400859.00,12.82,66393.06,953651.69,78017.00,6.96,87866.87,1165761.00,10894.00,7.54,0.00,0.00,0.00,0.00,197337.14,2455403.40,489770.00,8.04
2025,10,NE,93396.93,711404.37,927824.00,13.13,108308.47,1228095.10,165053.00,8.82,78094.30,1014788.70,61923.00,7.70,0.00,0.00,0.00,0.00,279799.70,2954288.20,1154800.00,9.47
2025,10,NH,94212.66,345524.53,659593.00,27.27,70096.88,344989.62,113213.00,20.32,27403.43,169898.18,3077.00,16.13,0.00,0.00,0.00,0.00,191712.97,860412.33,775883.00,22.28
2025,10,NJ,413325.31,1832889.50,3800519.00,22.55,470505.45,2892724.90,541354.00,16.27,68328.94,482401.16,11065.00,14.16,3790.72,31700.67,7.00,11.96,955950.42,5239716.20,4352945.00,18.24
2025,10,NM,78329.59,524473.36,926009.00,14.93,77458.83,745867.55,147390.00,10.39,74117.86,1339343.90,9101.00,5.53,0.00,0.00,0.00,0.00,229906.27,2609684.90,1082500.00,8.81
2025,10,NV,123643.52,898183.53,1340493.00,13.77,106848.84,1169254.00,178771.00,9.14,63210.48,928168.36,4603.00,6.81,61.22,633.60,1.00,9.66,293764.05,2996239.50,1523868.00,9.80
2025,10,NY,974387.43,3615113.80,7463313.00,26.95,1202705.90,5777051.30,1180022.00,20.82,121357.25,1315041.80,17788.00,9.23,35956.50,230316.41,6.00,15.61,2334407.10,10937523.00,8661129.00,21.34
2025,10,OH,594217.96,3329721.40,5104648.00,17.85,618702.38,4958788.70,625410.00,12.48,382141.31,4210384.60,17546.00,9.08,220.10,2130.02,2.00,10.33,1595281.80,12501025.00,5747606.00,12.76
2025,10,OK,247591.96,1716693.20,1906371.00,14.42,215748.96,2354095.00,311615.00,9.16,123128.15,1975767.80,19484.00,6.23,0.00,0.00,0.00,0.00,586469.07,6046556.00,2237470.00,9.70
2025,10,OR,225193.29,1393908.50,1899418.00,16.16,218179.47,2066952.90,250542.00,10.56,113751.60,1370239.00,26460.00,8.30,288.21,1992.09,2.00,14.47,557412.56,4833092.50,2176422.00,11.53
2025,10,PA,749063.49,3654885.20,5625766.00,20.49,409090.67,3184850.10,743416.00,12.84,377068.61,3881759.30,11035.00,9.71,4787.67,52073.70,5.00,9.19,1540010.40,10773568.00,6380222.00,14.29
2025,10,RI,63813.78,204791.63,467140.00,31.16,55868.51,242639.88,63693.00,23.03,10631.08,49786.59,1682.00,21.35,421.98,1875.79,1.00,22.50,130735.35,499093.90,532516.00,26.19
2025,10,SC,341416.85,2182500.90,2634242.00,15.64,237405.09,2158805.60,417063.00,11.00,145906.32,2090776.20,3495.00,6.98,0.00,0.00,0.00,0.00,724728.26,6432082.70,3054800.00,11.27
2025,10,SD,51159.33,363135.25,446093.00,14.09,46973.34,434766.59,80383.00,10.80,22190.22,259506.31,4326.00,8.55,0.00,0.00,0.00,0.00,120322.89,1057408.20,530802.00,11.38
2025,10,TN,403491.32,3090233.20,3124923.00,13.06,366819.29,2987189.30,549976.00,12.28,134907.94,2076839.60,990.00,6.50,0.00,0.00,0.00,0.00,905218.55,8154262.10,3675889.00,11.10
2025,10,TX,2232005.10,13856863.00,12754564.00,16.11,1367216.80,16463411.00,1541575.00,8.30,996743.01,14973080.00,405713.00,6.66,40.44,1074.61,3.00,3.76,4596005.30,45294429.00,14701855.00,10.15
2025,10,UT,109515.14,800114.10,1268498.00,13.69,124579.71,1198515.30,145459.00,10.39,62440.00,711787.06,10755.00,8.77,537.08,4344.62,1.00,12.36,297071.93,2714761.10,1424713.00,10.94
2025,10,VA,462897.32,2829639.30,3699613.00,16.36,704989.25,6942654.40,449784.00,10.15,118635.34,1150336.60,3985.00,10.31,2848.05,25142.58,1.00,11.33,1289370.00,10947773.00,4153383.00,11.78
2025,10,VT,37776.38,152447.62,312954.00,24.78,32573.04,156152.30,64052.00,20.86,12492.71,101220.05,223.00,12.34,0.00,0.00,0.00,0.00,82842.13,409819.97,377229.00,20.21
2025,10,WA,377902.78,2688334.00,3432102.00,14.06,316751.30,2755578.50,408144.00,11.49,115430.03,1641198.30,25482.00,7.03,1013.85,7866.83,5.00,12.89,811097.95,7092977.70,3865733.00,11.44
2025,10,WI,297403.39,1619153.80,2880220.00,18.37,252378.63,1942368.30,373051.00,12.99,175205.11,2015054.80,5641.00,8.69,16.99,82.46,2.00,20.60,725004.11,5576659.40,3258914.00,13.00
2025,10,WV,108186.09,668245.09,866906.00,16.19,77121.07,652088.65,153011.00,11.83,100049.57,1231861.10,10778.00,8.12,0.00,0.00,0.00,0.00,285356.73,2552194.80,1030695.00,11.18
2025,10,WY,29360.32,194279.71,290686.00,15.11,45382.78,472678.81,60227.00,9.60,61477.89,699220.76,11938.00,8.79,0.00,0.00,0.00,0.00,136220.99,1366179.30,362851.00,9.97
2025,9,AK,38464.36,141630.32,303443.00,27.16,50949.97,220361.52,58693.00,23.12,22493.57,118816.03,1246.00,18.93,0.00,0.00,0.00,0.00,111907.90,480807.87,363382.00,23.28
2025,9,AL,480719.92,2926701.80,2435862.00,16.43,302521.81,2097870.50,397761.00,14.42,217753.30,2788835.50,7269.00,7.81,0.00,0.00,0.00,0.00,1000995.00,7813407.70,2840892.00,12.81
2025,9,AR,228148.92,1654452.10,1499839.00,13.79,123398.78,1104147.50,209814.00,11.18,140557.83,1953757.20,41006.00,7.19,4.02,28.70,2.00,14.00,492109.55,4712385.50,1750661.00,10.44
2025,9,AZ,636347.62,4167973.30,3176466.00,15.27,452222.54,3592224.40,351273.00,12.59,107006.54,1299958.80,7201.00,8.23,112.31,943.25,2.00,11.91,1195689.00,9061099.80,3534942.00,13.20
2025,9,CA,2886773.80,9010776.80,14263674.00,32.04,3036688.30,10007028.00,1772257.00,30.35,981853.41,3850394.50,144067.00,25.50,12182.42,64627.71,13.00,18.85,6917497.90,22932827.00,16180011.00,30.16
2025,9,CO,282604.89,1692112.60,2526644.00,16.70,234230.67,1725032.50,402145.00,13.58,122943.13,1327182.00,14776.00,9.26,649.42,6409.13,1.00,10.13,640428.10,4750736.20,2943566.00,13.48
2025,9,CT,277123.81,909129.39,1594805.00,30.48,213553.61,972930.06,156452.00,21.95,38886.27,216193.03,3803.00,17.99,2268.47,12866.09,3.00,17.63,531832.16,2111118.60,1755063.00,25.19
2025,9,DC,42074.32,177745.92,325077.00,23.67,116900.50,602106.79,27595.00,19.42,1663.66,14269.02,1.00,11.66,2750.23,26192.62,3.00,10.50,163388.71,820314.34,352676.00,19.92
2025,9,DE,73299.76,404498.77,478352.00,18.12,44845.64,356862.58,61115.00,12.57,20767.04,238798.94,1142.00,8.70,0.00,0.00,0.00,0.00,138912.44,1000160.30,540609.00,13.89
2025,9,FL,2070084.20,13136126.00,10670918.00,15.76,1052794.00,9073532.80,1328886.00,11.60,130917.52,1443996.40,25008.00,9.07,623.05,5567.83,2.00,11.19,3254418.80,23659223.00,12024814.00,13.76
2025,9,GA,818644.93,5351078.90,4868798.00,15.30,566637.91,5041651.60,628789.00,11.24,210678.30,2822122.80,23035.00,7.47,1138.22,14511.20,1.00,7.84,1597099.40,13229364.00,5520623.00,12.07
2025,9,HI,96521.08,244126.60,449653.00,39.54,86756.74,246754.20,59929.00,35.16,94357.68,310087.71,856.00,30.43,0.00,0.00,0.00,0.00,277635.49,800968.51,510438.00,34.66
2025,9,IA,165186.50,1116992.90,1475551.00,14.79,130313.37,1117747.20,255615.00,11.66,226417.60,2543047.90,9541.00,8.90,0.00,0.00,0.00,0.00,521917.48,4777787.90,1740707.00,10.92
2025,9,ID,87666.06,701413.02,891650.00,12.50,58748.78,586516.41,126511.00,10.02,71851.39,823806.84,29985.00,8.72,0.00,0.00,0.00,0.00,218266.23,2111736.30,1048146.00,10.34
2025,9,IL,678262.68,3560628.60,5415768.00,19.05,531061.69,3785275.50,647669.00,14.03,386648.68,3553784.80,5534.00,10.88,3567.20,39608.48,3.00,9.01,1599540.30,10939297.00,6068974.00,14.62
2025,9,IN,447634.41,2582704.70,3015220.00,17.33,319438.27,2263779.90,376191.00,14.11,334616.52,3669219.70,19236.00,9.12,226.33,1574.75,1.00,14.37,1101915.50,8517279.00,3410648.00,12.94
2025,9,KS,181686.33,1195306.30,1347919.00,15.20,169149.08,1406293.70,251231.00,12.03,81675.24,1000906.10,24217.00,8.16,0.00,0.00,0.00,0.00,432510.65,3602506.10,1623367.00,12.01
2025,9,KY,275789.70,2034490.60,2018323.00,13.56,210043.53,1713844.50,328369.00,12.26,160351.81,2375233.70,4710.00,6.75,0.00,0.00,0.00,0.00,646185.03,6123568.80,2351402.00,10.55
2025,9,LA,383501.48,3102951.20,2169948.00,12.36,239683.64,2258464.80,304129.00,10.61,221358.04,3652019.70,17701.00,6.06,93.25,888.32,1.00,10.50,844636.41,9014324.00,2491779.00,9.37
2025,9,MA,483203.00,1588914.50,2914597.00,30.41,459280.85,2080290.50,426266.00,22.08,89779.69,484858.32,9614.00,18.52,1870.60,23345.54,2.00,8.01,1034134.10,4177408.80,3350479.00,24.76
2025,9,MD,431062.42,2048080.90,2469345.00,21.05,345089.44,2281581.20,262656.00,15.13,34400.94,276037.18,9386.00,12.46,4926.70,34062.77,5.00,14.46,815479.50,4639762.00,2741392.00,17.58
2025,9,ME,99459.44,355431.63,758942.00,27.98,72063.35,340941.40,113869.00,21.14,29021.63,188383.98,1820.00,15.41,0.00,0.00,0.00,0.00,200544.42,884757.00,874631.00,22.67
2025,9,MI,528536.00,2492515.50,4544215.00,21.20,449607.57,3121350.10,570509.00,14.40,200992.83,2384342.70,5746.00,8.43,65.64,469.45,2.00,13.98,1179202.00,7998677.80,5120472.00,14.74
2025,9,MN,297022.79,1737041.00,2624168.00,17.10,253433.12,1921970.70,312135.00,13.19,152983.82,1562333.90,9512.00,9.79,144.79,858.55,1.00,16.86,703584.53,5222204.20,2945816.00,13.47
2025,9,MO,457580.37,2888919.00,2882016.00,15.84,330581.39,2638060.50,407776.00,12.53,104398.78,1105753.60,9342.00,9.44,317.86,2126.68,2.00,14.95,892878.40,6634859.80,3299136.00,13.46
2025,9,MS,249662.35,1786601.40,1351008.00,13.97,175714.85,1363296.10,248757.00,12.89,103392.78,1366146.60,11878.00,7.57,0.00,0.00,0.00,0.00,528769.98,4516044.00,1611643.00,11.71
2025,9,MT,58850.48,402103.53,568137.00,14.64,54599.90,422009.74,142031.00,12.94,27718.16,378745.54,13980.00,7.32,0.00,0.00,0.00,0.00,141168.54,1202858.80,724148.00,11.74
2025,9,NC,720539.76,4765801.20,5194938.00,15.12,435387.37,4200665.80,758742.00,10.36,174209.31,2205068.40,8694.00,7.90,105.33,1092.49,1.00,9.64,1330241.80,11172628.00,5962375.00,11.91
